"Project Key","Issue Type","Summary","Description","Priority","Assignee","Labels","Epic Name","Epic Link","Sprint","Story Points","Depends On"
"STOCK","Story","SP4-02 Implement saved_screeners APIs","Create CRUD APIs for user saved filter presets and sorting preferences.","Highest","Backend Engineer","phase3,screener,api","","EPIC-04","Sprint 4","5","SP1-01"
"STOCK","Story","SP4-03 Wire watchlist UI to persisted APIs","Replace placeholder watchlist UI with real create/add/remove interactions.","Highest","Frontend Engineer","phase3,watchlist,frontend","","EPIC-04","Sprint 4","8","SP4-01"
"STOCK","Story","SP4-04 Implement first alert type price threshold","Support price_above and price_below alerts and trigger history records.","High","Backend Engineer","phase3,alerts","","EPIC-04","Sprint 4","8","SP4-01"
"STOCK","Story","SP4-05 Persist profile preferences","Store and load locale and notification preferences per user.","Medium","Frontend Engineer","phase3,profile,preferences","","EPIC-04","Sprint 4","3","SP4-02"
"STOCK","Epic","EPIC-05 Research Data Pipeline","Build reliable historical datasets and quality lineage for data product monetization.","Highest","Data Lead","phase4,data-pipeline,research","Research Data Pipeline","","Sprint 5","13",""
"STOCK","Story","SP5-01 Split master and daily fact datasets","Create stocks_master, stocks_market_daily, and stocks_governance_daily structures.","Highest","Data Engineer","phase4,pipeline,schema","","EPIC-05","Sprint 5","8","SP1-01"
"STOCK","Story","SP5-02 Add ownership snapshot pipeline","Generate daily ownership snapshots and concentration metrics by symbol.","Highest","Data Engineer","phase4,pipeline,ownership","","EPIC-05","Sprint 5","5","SP5-01"
"STOCK","Story","SP5-03 Persist ai_scores_daily with model versioning","Store score history with model and feature-set version metadata.","High","Data Engineer","phase4,pipeline,ai-scores","","EPIC-05","Sprint 5","5","SP5-01"
"STOCK","Story","SP5-04 Add data lineage and quality snapshots","Track freshness, null rates, row counts, and checksums per dataset run.","High","Data Engineer","phase4,pipeline,data-quality","","EPIC-05","Sprint 5","5","SP5-01"
"STOCK","Story","SP5-05 Run 6-12 month historical backfill","Backfill historical data and produce validation report by dataset.","Medium","Data Engineer","phase4,pipeline,backfill","","EPIC-05","Sprint 5","8","SP5-01"
"STOCK","Epic","EPIC-06 API Monetization and Metering","Monetize data access with API keys, quota controls, and usage reporting.","Highest","Backend Lead","phase5,api,monetization","API Monetization and Metering","","Sprint 6","13",""
"STOCK","Story","SP6-01 Implement api_keys with secure hashing","Create API key issuance and revocation flow with hashed storage.","Highest","Backend Engineer","phase5,api-keys,security","","EPIC-06","Sprint 6","5","SP1-01"
"STOCK","Story","SP6-02 Build api_usage_hourly metering","Aggregate request count, row count, errors, and latency per key/endpoint/hour.","Highest","Data Engineer","phase5,metering,usage","","EPIC-06","Sprint 6","8","SP6-01"
"STOCK","Story","SP6-03 Add rate limit and monthly quota enforcement","Apply middleware limits by plan and expose quota response headers.","Highest","Backend Engineer","phase5,rate-limit,quota","","EPIC-06","Sprint 6","8","SP6-02"
"STOCK","Story","SP6-04 Productize API packages by plan scope","Define and enforce endpoint package scopes for core, enriched, and historical data.","High","Product Manager","phase5,packaging,plans","","EPIC-06","Sprint 6","5","SP6-03"
"STOCK","Story","SP6-05 Add usage dashboard and billing export","Provide internal dashboard and CSV export for invoice-ready usage.","Medium","Frontend Engineer","phase5,reporting,internal-tools","","EPIC-06","Sprint 6","5","SP6-02"
"STOCK","Epic","EPIC-07 Paywall Activation and Growth","Enable plan gating and run conversion optimization safely.","Highest","Growth Lead","phase6,paywall,growth","Paywall Activation and Growth","","Sprint 7","13",""
"STOCK","Story","SP7-01 Re-enable backend free-tier limits","Apply server-side plan checks and enforce data access caps by plan.","Highest","Backend Engineer","phase6,paywall,backend","","EPIC-07","Sprint 7","5","SP2-04"
"STOCK","Story","SP7-02 Re-enable frontend premium tab gating","Restore client plan gating and upgrade prompts for premium-only surfaces.","Highest","Frontend Engineer","phase6,paywall,frontend","","EPIC-07","Sprint 7","5","SP7-01"
"STOCK","Story","SP7-03 Add pricing and CTA experiments","Ship experiment variants for upgrade CTA and pricing communication.","High","Product Manager","phase6,growth,experiments","","EPIC-07","Sprint 7","5","SP3-05"
"STOCK","Story","SP7-04 Add cancellation and churn feedback flow","Capture cancellation reasons and emit churn feedback events.","High","Frontend Engineer","phase6,churn,retention","","EPIC-07","Sprint 7","3","SP3-01"
"STOCK","Story","SP7-05 Run 7-day hypercare monitoring","Track launch health metrics and incident responses after paywall activation.","Highest","DevOps Engineer","phase6,hypercare,operations","","EPIC-07","Sprint 7","3","SP7-01"
